date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:08	57444/57444	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202024%2017:57:08%20GMT	https://nhat9.vip/	C:/Users/Administrator/Desktop/vippro/nhat9.vip/index.html	(from )
00:57:08	22/22	---M--	200	added ('OK')	text/plain	etag:%2265d62631-16%22	https://nhat9.vip/robots.txt		(from )
00:57:08	60682/60682	---M--	200	added ('OK')	image/png	etag:%2265ceff2b-ed0a%22	https://nhat9.vip/apple-icon.png	C:/Users/Administrator/Desktop/vippro/nhat9.vip/apple-icon.png	(from https://nhat9.vip/)
00:57:09	257943/257943	---MCZ	200	added ('OK')	text/css	etag:W/%2267642d7c-3ef97%22	https://nhat9.vip/build/style.min.css?v=4.0.9	C:/Users/Administrator/Desktop/vippro/nhat9.vip/build/style.minbc3e.css	(from https://nhat9.vip/)
00:57:09	151431/151431	---MCZ	200	added ('OK')	application/javascript	etag:W/%22674712d4-24f87%22	https://nhat9.vip/build/apphd.min.js?v=4.0.2	C:/Users/Administrator/Desktop/vippro/nhat9.vip/build/apphd.min8ee2.js	(from https://nhat9.vip/)
00:57:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2030%20Dec%202024%2017:57:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Administrator/Desktop/vippro/www.googletagmanager.com/gtm.35445.delayed	(from https://nhat9.vip/)
00:57:09	8553/8553	---M--	200	added ('OK')	image/png	etag:%2265ceff2b-2169%22	https://nhat9.vip/images/logo.png?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/logoba72.png	(from https://nhat9.vip/)
00:57:10	5820/5820	---M--	200	added ('OK')	image/png	etag:%2265ceff2b-16bc%22	https://nhat9.vip/images/tab-dangky.png?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/tab-dangkyba72.png	(from https://nhat9.vip/)
00:57:10	1222/1222	---MC-	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202024%2017:57:10%20GMT	https://nhat9.vip/get-captcha.html	C:/Users/Administrator/Desktop/vippro/nhat9.vip/get-captcha.png	(from https://nhat9.vip/)
00:57:10	4164/4164	---M--	200	added ('OK')	image/webp	etag:%2266a097e6-1044%22	https://nhat9.vip/images/btn-dangky.webp?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/btn-dangkyba72.webp	(from https://nhat9.vip/)
00:57:10	5668/5668	---M--	200	added ('OK')	image/webp	etag:%2266a097e6-1624%22	https://nhat9.vip/images/btn-play-web.webp?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/btn-play-webba72.webp	(from https://nhat9.vip/)
00:57:10	21360/21360	---M--	200	added ('OK')	image/webp	etag:%22669746c0-5370%22	https://nhat9.vip/images/seo/nhatvip-thien-duong-co-bac-hang-dau-viet-nam.webp?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/seo/nhatvip-thien-duong-co-bac-hang-dau-viet-namba72.webp	(from https://nhat9.vip/)
00:57:11	50016/50016	---M--	200	added ('OK')	image/webp	etag:%22669746c0-c360%22	https://nhat9.vip/images/seo/gioi-thieu-ve-nhatvip-apk.webp?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/seo/gioi-thieu-ve-nhatvip-apkba72.webp	(from https://nhat9.vip/)
00:57:11	19024/19024	---M--	200	added ('OK')	image/webp	etag:%22669746c0-4a50%22	https://nhat9.vip/images/seo/huong-dan-dang-ky-nhatvip-co-ban.webp?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/seo/huong-dan-dang-ky-nhatvip-co-banba72.webp	(from https://nhat9.vip/)
00:57:11	19352/19352	---M--	200	added ('OK')	image/webp	etag:%22669746c0-4b98%22	https://nhat9.vip/images/seo/quy-trinh-dang-nhap-nhatvip-don-gian.webp?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/seo/quy-trinh-dang-nhap-nhatvip-don-gianba72.webp	(from https://nhat9.vip/)
00:57:11	19404/19404	---M--	200	added ('OK')	image/webp	etag:%22669746c0-4bcc%22	https://nhat9.vip/images/seo/thuong-hieu-giai-tri-duoc-nhieu-nguoi-biet-den.webp?v=4.0.3	C:/Users/Administrator/Desktop/vippro/nhat9.vip/images/seo/thuong-hieu-giai-tri-duoc-nhieu-nguoi-biet-denba72.webp	(from https://nhat9.vip/)
